tau_h,gradient_energy_n,gradient_energy_mean_z,gradient_energy_std_z,tb_v2_intensity_n,tb_v2_intensity_mean_z,tb_v2_intensity_std_z,tb_v2_cosine_n,tb_v2_cosine_mean_z,tb_v2_cosine_std_z,tb_v1_n,tb_v1_mean_z,tb_v1_std_z,morans_i_n,morans_i_mean_z,morans_i_std_z,spatial_entropy_n,spatial_entropy_mean_z,spatial_entropy_std_z
-36,5,-1.0479292131664166,0.4746328647145334,5,-1.2617458906413694,0.3271383622334994,5,0.5669024616941662,0.6479980656326245,5,-0.9347540671098237,0.27128457123668925,5,0.38287961219870226,0.7539452799297826,5,-0.044802154832289456,0.6481609785560976
-35,5,-1.0061623896322125,0.49314150483935,5,-1.2348186574863618,0.31401294199739227,5,0.5616518609108097,0.6854932442221189,5,-1.0554908732005042,0.4992124002821906,5,0.2874795238848121,0.7997250234968646,5,-0.06122523488920101,0.6483713439170619
-34,5,-1.078887030548658,0.5641345470649106,5,-1.2880189895824143,0.5051801732517656,5,0.2352748646635267,0.7941222933286116,5,-1.0674629038713104,0.6005111738800152,5,0.246002885965605,0.8648033483190495,5,-0.15171770381990274,0.6850600918195093
-33,5,-0.9394659989447118,0.4238130406704878,5,-1.1500114966323065,0.55561846343962,5,0.5814604031317241,0.5936353030630646,5,-1.226000186061409,0.5520473003254868,5,0.10702245253230606,0.859713459839259,5,-0.4433193445027149,0.64778637541029
-32,5,-0.8348336810985229,0.37423041688689784,5,-1.0990321537500631,0.42801353694330896,5,0.6821821267772263,0.5375833128530129,5,-1.173726002319306,0.6836881113671267,5,0.10731031497563434,0.6586679882065517,5,-0.45261592571315523,0.6091510349190465
-31,5,-0.809432278490035,0.39331001740342897,5,-1.0389478506021441,0.45655906501938026,5,0.6046812628235201,0.6785290864403465,5,-1.1619544749249722,0.6870512627526828,5,0.06020452840986153,0.5786165781775556,5,-0.46977999934859127,0.5890718262680606
-30,5,-0.691249869919959,0.3555308047567099,5,-0.8962450721126614,0.20854363348499252,5,0.8175145406766589,0.4057157094490187,5,-0.8185182921833469,0.2701763025210995,5,0.2546175434823007,0.417753550184472,5,-0.5546986024886137,0.6584648235169182
-29,5,-0.653453234184083,0.3806882807390598,5,-0.773030588440721,0.2394881810459132,5,1.1036373673104811,0.38034773524850785,5,-0.6330830581548813,0.4845959804463369,5,0.34592809101703986,0.45663332481215,5,-0.5425519710873176,0.6289529560222538
-28,5,-0.4960312682394291,0.5186317367319456,5,-0.5999038077834747,0.4237774068236755,5,0.9757699296029829,0.35853552859873444,5,-0.216233041638839,0.9724895985770079,5,0.3748358172798622,0.4874260633688321,5,-0.5583902527155156,0.6004420651898585
-27,5,-0.38279723744033295,0.6466546797811062,5,-0.5080531091628083,0.5566459893714452,5,0.8015261180360802,0.3911614204908223,5,-0.24259609316152048,1.1693088551161728,5,0.44311977778841066,0.534548178214767,5,-0.5272550702087725,0.6044240575503094
-26,5,-0.17215916646747842,0.28396915816913837,5,-0.40203527840928055,0.30489973470655607,5,1.001328025507261,0.34673947501690294,5,-0.3025669609266849,0.6222953948378775,5,0.2031821955025772,0.8292743198765321,5,-0.5015081349045889,0.5743006554209255
-25,5,-0.14910546708723457,0.27531838247688983,5,-0.5030831549894914,0.17295855667475007,5,0.9398978431570353,0.36053928630374726,5,-0.3915239585190819,0.3023891258699396,5,0.14773878328046358,0.7764845951291285,5,-0.5649148216918123,0.5839465386736683
-24,5,-0.11309326484646667,0.39041904974092595,5,-0.4224059407140312,0.14587749755258564,5,0.38981568567098857,0.6079733604348084,5,-0.38888491196952735,0.2630766747848741,5,-0.013279971843776162,0.9264954739538793,5,-0.49370883670010296,0.38259257453374224
-23,5,-0.10872722894176949,0.4030970807389883,5,-0.39765960793012634,0.2796634269471565,5,0.40962429091250696,0.5183888596110605,5,-0.4228097484855409,0.6458428376173732,5,-0.15210746109260306,0.8866582467672962,5,-0.527739511826186,0.38530859654251765
-22,5,0.00531195872531891,0.4567864974435184,5,-0.13280709999387436,0.6815250662378344,5,0.21247495656803422,1.0151332300504436,5,-0.09422806142136202,1.2286475923852944,5,-0.17409177162597497,0.800301296356677,5,-0.5792371941499797,0.3837087937275972
-21,6,-0.2809166754337013,0.6992913168958848,6,-0.43628891717954454,0.8401053004071137,6,0.31156938463799405,0.4795814826300526,6,-0.3746146169360103,1.0166840281685783,6,-0.36592571028236165,0.8751462659395183,6,-0.7821998249646304,0.5487139546775524
-20,6,-0.2553341251986967,0.686344903806576,6,-0.3860485908901678,0.7405471777095392,6,0.7103038335405861,0.5832193163633876,6,-0.535135576397139,0.754628811565921,6,-0.33288124629019183,0.8512113840867218,6,-0.7772482877940349,0.539373968146516
-19,6,-0.1599839437312199,0.6732697410079168,6,-0.27056512591642196,0.6092540491261048,6,0.6390380608085418,0.40903007878811476,6,-0.3093641010047589,0.4089771226551515,6,-0.1551897879674716,0.7868914042304821,6,-0.7193657536924222,0.533882041781632
-18,6,-0.14529054017490917,0.6576748731668235,6,-0.24176725311235828,0.5811359540852469,6,0.6890443153033949,0.2898683502121526,6,-0.26934717396644914,0.41033741221153497,6,-0.14750100820501397,0.8056546762828147,6,-0.7054632801007866,0.5338040058205448
-17,6,-0.12294944880486429,0.6748867886374438,6,-0.23337233301608007,0.5536559163330286,6,0.5239388536617907,0.3591739352339457,6,-0.21484721104261692,0.4683572755492102,6,-0.16971205441725856,0.7933688639007338,6,-0.7734922252136177,0.45256283424040855
-16,6,-0.09848985733513742,0.7091029004458542,6,-0.15425811138390796,0.6572036311533009,6,0.4375728364116563,0.45156608764860434,6,-0.2884313720739497,0.6313038447650813,6,-0.1443865915672017,0.9358585201128315,6,-0.21179774641072854,0.7784299003540848
-15,6,-0.04627670263754106,0.7409670014794899,6,-0.19033237786147184,0.6126768089562877,6,0.41673439946944574,0.47550345255230153,6,-0.27220708552101,0.6041036769175065,6,-0.26966307927103395,0.9043825693196135,6,-0.23343970501388078,0.7902795918165572
-14,6,-0.02358881574612774,0.7566909111695784,6,-0.12307495511844589,0.6860657218584525,6,0.6742604184325823,0.3604706487361881,6,-0.3435147112589463,0.5689852380751634,6,-0.23664507689306633,0.9463470977199181,6,-0.2352347284580453,0.7911101556023978
-13,6,0.0258482820876544,0.7631835386869468,6,-0.14563550551863907,0.6484048040232399,6,0.7721513566512966,0.10326882565097688,6,-0.22256041951614627,0.6145484513058211,6,-0.17218311197237066,0.9103744711128633,6,-0.18601425328766155,0.8941462649894003
-12,6,0.06021714291551269,0.7777263010952726,6,-0.1029496414971023,0.6818246913246477,6,0.9441387669630785,0.3312989689308227,6,-0.17385822187085664,0.6194588085668008,6,-0.1649753930464762,0.9216787376750988,6,-0.19820617216931732,0.9006449401659825
-11,6,0.07908399340299953,0.7610093828603022,6,-0.11232493262536568,0.6122133126622672,6,0.8386141402709123,0.09893099087262805,6,-0.14809538005679693,0.5183098511714914,6,-0.0710463447468274,0.6698186455280061,6,-0.7164957128140893,0.4436899725160447
-10,6,0.08566559853384671,0.8226904647049815,6,0.07612799350871151,0.7593110800441984,6,0.005378248082873349,1.029063903537056,6,-0.08339516668101198,0.5327853463833517,6,0.03304254657165534,0.7065408711640351,6,-0.691806090129619,0.46340998894758656
-9,6,0.07609814238210877,0.8019531142203166,6,-0.021943813689595092,0.6018424229552796,6,0.14879992349933494,0.8811186070169242,6,-0.09541321423917265,0.5353676655798821,6,0.039511547935864255,0.719812818903713,6,-0.6872430744479493,0.4603926438701045
-8,6,0.168417022407934,0.8986597432732633,6,0.17295578096984923,0.8290440774753038,6,-0.15141695430766297,1.1379360095663804,6,0.08658522826507942,0.6552717713162386,6,-0.005203447514960065,0.6976547815681678,6,-0.7082399850799019,0.47587333509847923
-7,6,0.32989466753584035,0.9026448117162417,6,0.22915307227487122,0.7335668092453316,6,-0.09753402542519331,0.9050368084587719,6,0.1178388058547181,0.6069002131246506,6,-0.11043916296513706,0.729226711579421,6,-0.3383264721987868,0.6620053917400933
-6,6,0.3724630373615229,0.9714553792923359,6,0.30367552141310444,0.8801680224390297,6,0.2259335887242042,0.7527147786379483,6,0.17718094731732292,0.7053248449089178,6,-0.159578392258075,0.7218844622846242,6,-0.3607946556526349,0.6869455527408431
-5,6,0.3236377714133721,0.9486464909370149,6,0.25947338010979776,0.8159759907410956,6,-0.14532943053345085,1.0075362114901507,6,0.17027978046781245,0.7009456393022735,6,-0.14566187671660205,0.7024404393495586,6,-0.35854476296208376,0.6813853631874084
