Storm,Metric,Max_Growth_UTC,Max_Deepening_UTC,Lead_vs_MaxDeepening_h,Boundary_Censored
Amphan,gradient_energy,2020-05-19 08:00:00,2020-05-19 07:00:00,-1.0,False
Amphan,tb_v2_intensity,2020-05-18 09:00:00,2020-05-19 07:00:00,22.0,False
Amphan,tb_v2_cosine,2020-05-18 11:00:00,2020-05-19 07:00:00,20.0,False
Amphan,tb_v1,2020-05-18 09:00:00,2020-05-19 07:00:00,22.0,False
Amphan,morans_i,2020-05-17 11:00:00,2020-05-19 07:00:00,44.0,False
Amphan,spatial_entropy,2020-05-20 20:00:00,2020-05-19 07:00:00,-37.0,False
Fani,gradient_energy,2019-05-04 22:00:00,2019-05-01 08:00:00,-86.0,False
Fani,tb_v2_intensity,2019-05-03 22:00:00,2019-05-01 08:00:00,-62.0,False
Fani,tb_v2_cosine,2019-05-04 17:00:00,2019-05-01 08:00:00,-81.0,False
Fani,tb_v1,2019-05-03 23:00:00,2019-05-01 08:00:00,-63.0,False
Fani,morans_i,2019-05-01 18:00:00,2019-05-01 08:00:00,-10.0,False
Fani,spatial_entropy,2019-05-01 04:00:00,2019-05-01 08:00:00,4.0,False
Mocha,gradient_energy,2023-05-15 06:00:00,2023-05-13 18:00:00,-36.0,False
Mocha,tb_v2_intensity,2023-05-15 06:00:00,2023-05-13 18:00:00,-36.0,False
Mocha,tb_v2_cosine,2023-05-14 21:00:00,2023-05-13 18:00:00,-27.0,False
Mocha,tb_v1,2023-05-15 06:00:00,2023-05-13 18:00:00,-36.0,False
Mocha,morans_i,2023-05-15 12:00:00,2023-05-13 18:00:00,-42.0,False
Mocha,spatial_entropy,2023-05-14 21:00:00,2023-05-13 18:00:00,-27.0,False
Yaas,gradient_energy,2021-05-27 10:00:00,2021-05-24 18:00:00,-64.0,False
Yaas,tb_v2_intensity,2021-05-24 18:00:00,2021-05-24 18:00:00,0.0,False
Yaas,tb_v2_cosine,2021-05-24 05:00:00,2021-05-24 18:00:00,13.0,False
Yaas,tb_v1,2021-05-24 18:00:00,2021-05-24 18:00:00,0.0,False
Yaas,morans_i,2021-05-26 10:00:00,2021-05-24 18:00:00,-40.0,False
Yaas,spatial_entropy,2021-05-25 16:00:00,2021-05-24 18:00:00,-22.0,False
Sidr,gradient_energy,2007-11-16 15:00:00,2007-11-13 21:00:00,-66.0,False
Sidr,tb_v2_intensity,2007-11-16 15:00:00,2007-11-13 21:00:00,-66.0,False
Sidr,tb_v2_cosine,2007-11-16 23:00:00,2007-11-13 21:00:00,-74.0,True
Sidr,tb_v1,2007-11-16 15:00:00,2007-11-13 21:00:00,-66.0,False
Sidr,morans_i,2007-11-16 13:00:00,2007-11-13 21:00:00,-64.0,False
Sidr,spatial_entropy,2007-11-16 06:00:00,2007-11-13 21:00:00,-57.0,False
Nargis,gradient_energy,2008-04-29 20:00:00,2008-04-30 21:00:00,25.0,False
Nargis,tb_v2_intensity,2008-04-30 23:00:00,2008-04-30 21:00:00,-2.0,True
Nargis,tb_v2_cosine,2008-04-30 23:00:00,2008-04-30 21:00:00,-2.0,True
Nargis,tb_v1,2008-04-30 23:00:00,2008-04-30 21:00:00,-2.0,True
Nargis,morans_i,2008-04-30 12:00:00,2008-04-30 21:00:00,9.0,False
Nargis,spatial_entropy,2008-04-30 19:00:00,2008-04-30 21:00:00,2.0,False
