Storm,Metric,Max_Deepening_Rate_hPa_h,Integrated_Growth_IPMG,Growth_Rate_p95,Elevated_Duration_h,Lead_vs_MaxDeepening_h,Alignment_Class
Amphan,gradient_energy,2.57,5118.6543,212.57819,24,-1.0,Temporal Class A (Synced)
Amphan,tb_v2_intensity,2.57,14.8974,0.61515,24,22.0,Temporal Class B (Precursory)
Amphan,tb_v2_cosine,2.57,0.0018,0.0001,24,20.0,Temporal Class B (Precursory)
Amphan,tb_v1,2.57,2.7239,0.13242,24,22.0,Temporal Class B (Precursory)
Amphan,morans_i,2.57,0.0105,0.00049,24,44.0,Temporal Class B (Precursory)
Amphan,spatial_entropy,2.57,0.1663,0.00841,24,-37.0,Temporal Class C (Post-Peak Lag)
Fani,gradient_energy,1.96,1238792.0,44800.57812,24,-86.0,Temporal Class C (Post-Peak Lag)
Fani,tb_v2_intensity,1.96,505.6488,17.86023,24,-62.0,Temporal Class C (Post-Peak Lag)
Fani,tb_v2_cosine,1.96,0.0012,6e-05,24,-81.0,Temporal Class C (Post-Peak Lag)
Fani,tb_v1,1.96,163.5926,5.53332,24,-63.0,Temporal Class C (Post-Peak Lag)
Fani,morans_i,1.96,0.0451,0.00222,24,-10.0,Temporal Class C (Post-Peak Lag)
Fani,spatial_entropy,1.96,0.0039,0.0001,24,4.0,Temporal Class A (Synced)
Mocha,gradient_energy,1.99,2641054.9844,200489.51562,24,-36.0,Temporal Class C (Post-Peak Lag)
Mocha,tb_v2_intensity,1.99,963.6973,60.54871,24,-36.0,Temporal Class C (Post-Peak Lag)
Mocha,tb_v2_cosine,1.99,0.0019,0.00011,24,-27.0,Temporal Class C (Post-Peak Lag)
Mocha,tb_v1,1.99,276.3294,16.81957,25,-36.0,Temporal Class C (Post-Peak Lag)
Mocha,morans_i,1.99,0.0867,0.00308,25,-42.0,Temporal Class C (Post-Peak Lag)
Mocha,spatial_entropy,1.99,0.0306,0.00028,24,-27.0,Temporal Class C (Post-Peak Lag)
Yaas,gradient_energy,1.61,566137.75,19090.36719,24,-64.0,Temporal Class C (Post-Peak Lag)
Yaas,tb_v2_intensity,1.61,242.1816,11.87483,27,0.0,Temporal Class A (Synced)
Yaas,tb_v2_cosine,1.61,0.0006,4e-05,25,13.0,Temporal Class B (Precursory)
Yaas,tb_v1,1.61,86.4924,3.80193,24,0.0,Temporal Class A (Synced)
Yaas,morans_i,1.61,0.036,0.00281,26,-40.0,Temporal Class C (Post-Peak Lag)
Yaas,spatial_entropy,1.61,0.006,0.00024,25,-22.0,Temporal Class C (Post-Peak Lag)
Sidr,gradient_energy,1.29,1197327.5156,39623.83594,24,-66.0,Temporal Class C (Post-Peak Lag)
Sidr,tb_v2_intensity,1.29,593.7935,15.20171,24,-66.0,Temporal Class C (Post-Peak Lag)
Sidr,tb_v2_cosine,1.29,0.0016,0.0001,24,-74.0,Temporal Class C (Post-Peak Lag)
Sidr,tb_v1,1.29,187.7995,7.8385,24,-66.0,Temporal Class C (Post-Peak Lag)
Sidr,morans_i,1.29,0.1827,0.01699,25,-64.0,Temporal Class C (Post-Peak Lag)
Sidr,spatial_entropy,1.29,0.0251,0.00069,25,-57.0,Temporal Class C (Post-Peak Lag)
Nargis,gradient_energy,1.64,234433.2812,24822.46953,13,25.0,Temporal Class B (Precursory)
Nargis,tb_v2_intensity,1.64,79.6095,6.71907,14,-2.0,Temporal Class A (Synced)
Nargis,tb_v2_cosine,1.64,0.0003,3e-05,18,-2.0,Temporal Class A (Synced)
Nargis,tb_v1,1.64,27.4836,2.60372,14,-2.0,Temporal Class A (Synced)
Nargis,morans_i,1.64,0.0355,0.0041,14,9.0,Temporal Class B (Precursory)
Nargis,spatial_entropy,1.64,0.0011,9e-05,14,2.0,Temporal Class A (Synced)
