Storm,Metric,M_max,IPMG_Raw,IPMG_Norm,Quiet_Baseline,Elevated_h_Quiet,Lead_vs_MaxDeepening_h
Amphan,gradient_energy,4937.6411,5118.65,1.037,1387.0213,49,-1.0
Amphan,tb_v2_intensity,28.8499,14.9,0.516,21.5142,0,22.0
Amphan,tb_v2_cosine,0.9987,0.0,0.002,0.9985,0,20.0
Amphan,tb_v1,2.0217,2.72,1.347,1.013,14,22.0
Amphan,morans_i,0.9891,0.01,0.011,0.9879,0,44.0
Amphan,spatial_entropy,0.2113,0.17,0.787,0.1468,0,-37.0
Fani,gradient_energy,1571704.5,1238792.0,0.788,430373.9062,53,-86.0
Fani,tb_v2_intensity,710.3718,505.65,0.712,235.4982,42,-62.0
Fani,tb_v2_cosine,0.9985,0.0,0.001,0.9984,0,-81.0
Fani,tb_v1,216.0806,163.59,0.757,72.9155,38,-63.0
Fani,morans_i,0.9423,0.05,0.048,0.9255,0,-10.0
Fani,spatial_entropy,0.0241,0.0,0.164,0.022,0,4.0
Mocha,gradient_energy,1827396.5,2641054.98,1.445,703853.9375,24,-36.0
Mocha,tb_v2_intensity,768.0662,963.7,1.255,321.4345,32,-36.0
Mocha,tb_v2_cosine,0.9988,0.0,0.002,0.9986,0,-27.0
Mocha,tb_v1,227.2844,276.33,1.216,101.3473,26,-36.0
Mocha,morans_i,0.9588,0.09,0.09,0.9288,0,-42.0
Mocha,spatial_entropy,0.0381,0.03,0.805,0.0219,10,-27.0
Yaas,gradient_energy,1046185.4375,566137.75,0.541,868663.375,0,-64.0
Yaas,tb_v2_intensity,510.696,242.18,0.474,426.7803,0,0.0
Yaas,tb_v2_cosine,0.9987,0.0,0.001,0.9987,0,13.0
Yaas,tb_v1,145.7746,86.49,0.593,136.6523,0,0.0
Yaas,morans_i,0.9384,0.04,0.038,0.9369,0,-40.0
Yaas,spatial_entropy,0.0244,0.01,0.245,0.0195,0,-22.0
Sidr,gradient_energy,1366882.875,1197327.52,0.876,673181.5312,19,-66.0
Sidr,tb_v2_intensity,662.9852,593.79,0.896,317.1044,20,-66.0
Sidr,tb_v2_cosine,0.9987,0.0,0.002,0.9987,0,-74.0
Sidr,tb_v1,199.1916,187.8,0.943,109.7231,17,-66.0
Sidr,morans_i,0.9361,0.18,0.195,0.9264,0,-64.0
Sidr,spatial_entropy,0.033,0.03,0.759,0.0219,4,-57.0
Nargis,gradient_energy,646721.5625,234433.28,0.362,468420.375,0,25.0
Nargis,tb_v2_intensity,313.2675,79.61,0.254,236.9171,0,-2.0
Nargis,tb_v2_cosine,0.9986,0.0,0.0,0.9985,0,-2.0
Nargis,tb_v1,97.5421,27.48,0.282,76.956,0,-2.0
Nargis,morans_i,0.9286,0.04,0.038,0.9189,0,9.0
Nargis,spatial_entropy,0.0223,0.0,0.051,0.0215,0,2.0
