storm_id,ibtracs_id,storm_name,season,basin,hemisphere,agency,analysis_datetime_utc,center_lat,center_lon,box_size_deg,category,cohort_type
amphan,2020137N09895,AMPHAN,2020,NI,NH,IMD,2020-05-17T12:00:00Z,13.2,86.3,15.0,Cat_5,Core
bulbul,2019310N11092,BULBUL,2019,NI,NH,IMD,2019-11-08T00:00:00Z,18.5,87.6,15.0,Cat_3,Core
fani,2019116N09889,FANI,2019,NI,NH,IMD,2019-04-30T12:00:00Z,13.8,85.2,15.0,Cat_4,Core
gulab,2021267N17882,GULAB,2021,NI,NH,IMD,2021-09-25T12:00:00Z,18.4,88.3,15.0,Cat_1,Core
haiyan,2013307N06145,HAIYAN,2013,WP,NH,JTWC,2013-11-06T12:00:00Z,7.8,135.2,15.0,Cat_5,Core
hudhud,2014280N12093,HUDHUD,2014,NI,NH,IMD,2014-10-10T12:00:00Z,14.8,86.2,15.0,Cat_4,Core
ida,2021238N12282,IDA,2021,,NH,USA,2021-08-27T12:00:00Z,23.5,-83.5,15.0,Cat_4,Core
kyarr,2019297N15068,KYARR,2019,NI,NH,IMD,2019-10-26T12:00:00Z,16.2,70.5,15.0,Cat_4,Core
mekunu,2018141N09054,MEKUNU,2018,NI,NH,IMD,2018-05-23T12:00:00Z,13.4,55.1,15.0,Cat_3,Core
mocha,2023131N11089,MOCHA,2023,NI,NH,IMD,2023-05-12T12:00:00Z,13.2,88.1,15.0,Cat_5,Core
nargis,2008118N11092,NARGIS,2008,NI,NH,IMD,2008-05-01T12:00:00Z,15.8,91.2,15.0,Cat_4,Core
sidr,2007315N10092,SIDR,2007,NI,NH,IMD,2007-11-13T12:00:00Z,12.1,91.5,15.0,Cat_5,Core
yaas,2021143N16895,YAAS,2021,NI,NH,IMD,2021-05-24T12:00:00Z,16.3,89.5,15.0,Cat_1,Core
fay_2020,2020188N27281,FAY,2020,NA,NH,USA,2020-07-07T18:00:00Z,28.5,-78.8,15.0,TS,Expanded
goni_2020,2020301N13146,GONI,2020,WP,NH,JTWC,2020-10-28T06:00:00Z,13.7,134.7,15.0,Cat_5,Expanded
ian_2022,2022261N14285,IAN,2022,NA,NH,USA,2022-09-25T12:00:00Z,21.3,-82.9,15.0,Cat_5,Expanded
maria_2017,2017260N12310,MARIA,2017,NA,NH,USA,2017-09-17T03:00:00Z,12.8,-53.9,15.0,Cat_5,Expanded
sam_2021,2021266N11322,SAM,2021,NA,NH,USA,2021-09-23T18:00:00Z,11.5,-38.2,15.0,Cat_4,Expanded
low_2021_01,2021001N00000,UNNAMED_LOW_01,2021,NA,NH,USA,2021-05-12T12:00:00Z,32.0,-65.0,15.0,NonTC,NegativeControl
low_2022_02,2022002N00000,UNNAMED_LOW_02,2022,NI,NH,IMD,2022-11-10T06:00:00Z,11.2,82.5,15.0,NonTC,NegativeControl
