storm_id,version,window_hours,grid_cells,grid_shape,GE_total,GE_mean,GE_peak,GE_median,GE_std,peak_frame,p95_grad_max_Pam,p95_grad_mean_Pam
amphan,TRACEBIND-P5A-v1.1,96,7533,93x81,7.665981642901897,1.0600554280889204e-05,1.7733076674630865e-05,9.709300229587825e-06,2.9987772436917e-06,57,0.008132980205118656,0.006915207025789035
bulbul,TRACEBIND-P5A-v1.1,96,1681,41x41,0.7238406951073557,4.4854296306813995e-06,8.627345778222661e-06,4.708860160462791e-06,2.8295709630660633e-06,22,0.006880004890263081,0.004594107536831871
fani,TRACEBIND-P5A-v1.1,96,6561,81x81,2.902071819640696,4.607516345345175e-06,6.984470019233413e-06,4.7705484575999435e-06,1.4777937396997063e-06,15,0.005223593674600124,0.004260059351508971
gulab,TRACEBIND-P5A-v1.1,96,1681,41x41,0.21942269190913066,1.3596984202261335e-06,2.4778025817795424e-06,1.347946124496957e-06,5.530699925523128e-07,43,0.00374621176160872,0.0025491130703206486
haiyan,TRACEBIND-P5A-v1.1,96,1681,41x41,0.7801327713532373,4.834255227829469e-06,1.3223975656728726e-05,1.700872246601648e-06,4.455155923524226e-06,44,0.00875862967222929,0.00445451994164614
hudhud,TRACEBIND-P5A-v1.1,96,1681,41x41,1.4297155163949355,8.859530009767505e-06,2.0613279048120603e-05,7.2600582825543825e-06,5.549454945776222e-06,45,0.010496912524104118,0.006575835376376442
ida,TRACEBIND-P5A-v1.1,96,1681,41x41,1.34819700778462,8.354383576048008e-06,2.1133026166353375e-05,6.3940544805518584e-06,6.477472351602707e-06,42,0.0102577805519104,0.005844419953064062
kyarr,TRACEBIND-P5A-v1.1,96,1681,41x41,1.6779371035518125,1.0397686756628369e-05,1.992547549889423e-05,9.773635156307137e-06,6.825005192567184e-06,62,0.010122301988303661,0.0065153525526208496
mekunu,TRACEBIND-P5A-v1.1,96,1681,41x41,1.5074707525782287,9.341356533335935e-06,1.4842506971035618e-05,1.0689505870686844e-05,4.129100109712426e-06,21,0.009556290693581104,0.006857624740708464
mocha,TRACEBIND-P5A-v1.1,96,6561,81x81,3.320979382842779,5.272601005875306e-06,1.1672703294607345e-05,5.804459760838654e-06,2.9565845615470312e-06,52,0.005689870100468397,0.00422372977482155
nargis,TRACEBIND-P5A-v1.1,48,5913,73x81,0.6259611444547772,2.205455319407671e-06,2.6225684450764675e-06,2.271795210617711e-06,2.775972693381183e-07,35,0.0034557650797069073,0.003125968811218627
sidr,TRACEBIND-P5A-v1.1,96,6561,81x81,1.4709009379148483,2.335297169272129e-06,3.5724199278774904e-06,2.483583784851362e-06,8.790834749180553e-07,57,0.0038269401993602514,0.0031736739474581555
yaas,TRACEBIND-P5A-v1.1,96,6561,81x81,2.498212439008057,3.966323154950639e-06,6.186263362906175e-06,3.994178086941247e-06,1.3193865379407538e-06,32,0.005750836804509163,0.004277070285752416
