storm_id,pipeline_version,algorithm_id,dataset_md5,window_hours,grid_cells,grid_shape,window_min_msl_hpa,window_msl_drop_hpa,GE_density,GE_peak_density,GE_peak_ratio,GE_cv,GE_total,p95_grad_max_Pam,peak_frame_index,basin,operational_agency,peak_category,vmax_kt,best_track_min_msl_hpa,GE_density_rank,null_model,N_permutations,null_GE_density_mean,null_GE_density_std,null_p05,null_p50,null_p95,fourier_z_score,p_value_upper,p_value_lower,p_value_twosided
amphan,TRACEBIND-P5-INT-v1.0,TRACEBIND-P5A-v1.1,df5e369804a90787e1c17b24f850b2d6,96,7533,93x81,941.35,43.91,1.0600554280889204e-05,1.7733076674630865e-05,1.673,0.283,7.665981642901897,0.0081329802051186,57,Bay of Bengal (NI),IMD,Super Cyclonic Storm,130,920,1,Fourier_Phase_Surrogate,1000,1.7121776253292684e-05,2.1498776280916894e-07,1.6764266770109784e-05,1.7118369135429703e-05,1.7469708859164195e-05,-30.33,1.0,0.000999000999000999,0.001998001998001998
kyarr,TRACEBIND-P5-INT-v1.0,TRACEBIND-P5A-v1.1,95c9f53c8e35ad51b4125a0614d2d5a7,96,1681,41x41,972.02,32.37,1.0397686756628367e-05,1.992547549889423e-05,1.916,0.656,1.6779371035518125,0.0101223019883036,62,Arabian Sea (NI),IMD,Super Cyclonic Storm,130,922,2,Fourier_Phase_Surrogate,1000,1.690200990648747e-05,1.4379503201712312e-07,1.6669464387913526e-05,1.6899011158828963e-05,1.7140474981847723e-05,-45.23,1.0,0.000999000999000999,0.001998001998001998
mekunu,TRACEBIND-P5-INT-v1.0,TRACEBIND-P5A-v1.1,f44dd80ba74d354f7bc43a06e5dfb590,96,1681,41x41,976.55,24.99,9.341356533335936e-06,1.4842506971035618e-05,1.589,0.442,1.5074707525782287,0.0095562906935811,21,Arabian Sea (NI),IMD,Extremely Severe Cyclonic Storm,95,960,3,Fourier_Phase_Surrogate,1000,1.4343970499173018e-05,1.212831310292172e-07,1.4139451215258887e-05,1.4346524644611105e-05,1.4538073170224317e-05,-41.25,1.0,0.000999000999000999,0.001998001998001998
hudhud,TRACEBIND-P5-INT-v1.0,TRACEBIND-P5A-v1.1,2a5fc9432251380643f9928d3290d330,96,1681,41x41,969.12,36.13,8.859530009767505e-06,2.0613279048120603e-05,2.327,0.626,1.4297155163949355,0.0104969125241041,45,Bay of Bengal (NI),IMD,Very Severe Cyclonic Storm,100,950,4,Fourier_Phase_Surrogate,1000,1.5633577630176137e-05,1.6972712143823752e-07,1.5343050316299015e-05,1.5639468452755598e-05,1.589785415853588e-05,-39.91,1.0,0.000999000999000999,0.001998001998001998
ida,TRACEBIND-P5-INT-v1.0,TRACEBIND-P5A-v1.1,236e38614d1f992f273f02ac3c2cc473,96,1681,41x41,980.89,29.51,8.354383576048008e-06,2.113302616635337e-05,2.53,0.775,1.34819700778462,0.0102577805519104,42,North Atlantic (NA),NHC,Category 4 Hurricane,130,929,5,Fourier_Phase_Surrogate,1000,2.2842786812778965e-05,4.395891834793057e-07,2.2150385569874436e-05,2.283312696010979e-05,2.356575621899448e-05,-32.96,1.0,0.000999000999000999,0.001998001998001998
mocha,TRACEBIND-P5-INT-v1.0,TRACEBIND-P5A-v1.1,f0b26e7fdb82461737922f116a2389f8,96,6561,81x81,955.82,47.0,5.272601005875306e-06,1.1672703294607343e-05,2.214,0.561,3.320979382842779,0.0056898701004683,52,Bay of Bengal (NI),IMD,Extremely Severe Cyclonic Storm,150,918,6,Fourier_Phase_Surrogate,1000,1.2737278464093788e-05,2.1037352156998966e-07,1.2389154355815482e-05,1.2747802637616395e-05,1.3079642867797962e-05,-35.48,1.0,0.000999000999000999,0.001998001998001998
haiyan,TRACEBIND-P5-INT-v1.0,TRACEBIND-P5A-v1.1,c768c9024aa3f30f8b2e997fb992f4d0,96,1681,41x41,979.54,30.6,4.834255227829469e-06,1.3223975656728726e-05,2.735,0.922,0.7801327713532373,0.0087586296722292,44,Western Pacific (WP),JMA,Super Typhoon,125,895,7,Fourier_Phase_Surrogate,1000,1.3236949230416883e-05,1.677914645406347e-07,1.2967887086606726e-05,1.3237709483270355e-05,1.350559329600193e-05,-50.08,1.0,0.000999000999000999,0.001998001998001998
fani,TRACEBIND-P5-INT-v1.0,TRACEBIND-P5A-v1.1,97d8cba3e702803f316b69c4e727fd01,96,6561,81x81,973.38,31.25,4.607516345345175e-06,6.984470019233413e-06,1.516,0.321,2.902071819640696,0.0052235936746001,15,Bay of Bengal (NI),IMD,Extremely Severe Cyclonic Storm,115,932,8,Fourier_Phase_Surrogate,1000,9.684446626007746e-06,1.0589830539714235e-07,9.517192103497588e-06,9.683157342089436e-06,9.855637484831355e-06,-47.94,1.0,0.000999000999000999,0.001998001998001998
bulbul,TRACEBIND-P5-INT-v1.0,TRACEBIND-P5A-v1.1,516b01a78d411fd3e14e7beebe13ad50,96,1681,41x41,988.67,21.79,4.4854296306814e-06,8.627345778222661e-06,1.923,0.631,0.7238406951073557,0.006880004890263,22,Bay of Bengal (NI),IMD,Very Severe Cyclonic Storm,75,980,9,Fourier_Phase_Surrogate,1000,7.469186772097932e-06,7.500115506174246e-08,7.3495948690242775e-06,7.466182330990565e-06,7.594252280862739e-06,-39.78,1.0,0.000999000999000999,0.001998001998001998
yaas,TRACEBIND-P5-INT-v1.0,TRACEBIND-P5A-v1.1,edd77b58be84d1c8c4b8bfd08544372a,96,6561,81x81,972.97,21.9,3.966323154950639e-06,6.186263362906175e-06,1.56,0.333,2.498212439008057,0.0057508368045091,32,Bay of Bengal (NI),IMD,Very Severe Cyclonic Storm,75,970,10,Fourier_Phase_Surrogate,1000,1.1723696404594462e-05,1.6562369901038803e-07,1.1465263634352463e-05,1.1717053879551692e-05,1.2000564491542697e-05,-46.84,1.0,0.000999000999000999,0.001998001998001998
