storm_id,pipeline_version,algorithm_id,dataset_md5,window_hours,grid_cells,grid_shape,window_min_msl_hpa,window_msl_drop_hpa,GE_density,GE_peak_density,GE_peak_ratio,GE_cv,GE_total,p95_grad_max_Pam,peak_frame_index,basin,operational_agency,peak_category,vmax_kt,best_track_min_msl_hpa
amphan,TRACEBIND-P5-INT-v1.0,TRACEBIND-P5A-v1.1,df5e369804a90787e1c17b24f850b2d6,96,7533,93x81,941.35,43.91,1.0600554280889204e-05,1.7733076674630865e-05,1.673,0.283,7.665981642901897,0.008132980205118656,57,Bay of Bengal (NI),IMD,Super Cyclonic Storm,130,920
kyarr,TRACEBIND-P5-INT-v1.0,TRACEBIND-P5A-v1.1,95c9f53c8e35ad51b4125a0614d2d5a7,96,1681,41x41,972.02,32.37,1.0397686756628369e-05,1.992547549889423e-05,1.916,0.656,1.6779371035518125,0.010122301988303661,62,Arabian Sea (NI),IMD,Super Cyclonic Storm,130,922
mekunu,TRACEBIND-P5-INT-v1.0,TRACEBIND-P5A-v1.1,f44dd80ba74d354f7bc43a06e5dfb590,96,1681,41x41,976.55,24.99,9.341356533335935e-06,1.4842506971035618e-05,1.589,0.442,1.5074707525782287,0.009556290693581104,21,Arabian Sea (NI),IMD,Extremely Severe Cyclonic Storm,95,960
hudhud,TRACEBIND-P5-INT-v1.0,TRACEBIND-P5A-v1.1,2a5fc9432251380643f9928d3290d330,96,1681,41x41,969.12,36.13,8.859530009767505e-06,2.0613279048120603e-05,2.327,0.626,1.4297155163949355,0.010496912524104118,45,Bay of Bengal (NI),IMD,Very Severe Cyclonic Storm,100,950
ida,TRACEBIND-P5-INT-v1.0,TRACEBIND-P5A-v1.1,236e38614d1f992f273f02ac3c2cc473,96,1681,41x41,980.89,29.51,8.354383576048008e-06,2.1133026166353375e-05,2.53,0.775,1.34819700778462,0.0102577805519104,42,North Atlantic (NA),NHC,Category 4 Hurricane,130,929
mocha,TRACEBIND-P5-INT-v1.0,TRACEBIND-P5A-v1.1,f0b26e7fdb82461737922f116a2389f8,96,6561,81x81,955.82,47.0,5.272601005875306e-06,1.1672703294607345e-05,2.214,0.561,3.320979382842779,0.005689870100468397,52,Bay of Bengal (NI),IMD,Extremely Severe Cyclonic Storm,150,918
haiyan,TRACEBIND-P5-INT-v1.0,TRACEBIND-P5A-v1.1,c768c9024aa3f30f8b2e997fb992f4d0,96,1681,41x41,979.54,30.6,4.834255227829469e-06,1.3223975656728726e-05,2.735,0.922,0.7801327713532373,0.00875862967222929,44,Western Pacific (WP),JMA,Super Typhoon,125,895
fani,TRACEBIND-P5-INT-v1.0,TRACEBIND-P5A-v1.1,97d8cba3e702803f316b69c4e727fd01,96,6561,81x81,973.38,31.25,4.607516345345175e-06,6.984470019233413e-06,1.516,0.321,2.902071819640696,0.005223593674600124,15,Bay of Bengal (NI),IMD,Extremely Severe Cyclonic Storm,115,932
bulbul,TRACEBIND-P5-INT-v1.0,TRACEBIND-P5A-v1.1,516b01a78d411fd3e14e7beebe13ad50,96,1681,41x41,988.67,21.79,4.4854296306813995e-06,8.627345778222661e-06,1.923,0.631,0.7238406951073557,0.006880004890263081,22,Bay of Bengal (NI),IMD,Very Severe Cyclonic Storm,75,980
yaas,TRACEBIND-P5-INT-v1.0,TRACEBIND-P5A-v1.1,edd77b58be84d1c8c4b8bfd08544372a,96,6561,81x81,972.97,21.9,3.966323154950639e-06,6.186263362906175e-06,1.56,0.333,2.498212439008057,0.005750836804509163,32,Bay of Bengal (NI),IMD,Very Severe Cyclonic Storm,75,970
sidr,TRACEBIND-P5-INT-v1.0,TRACEBIND-P5A-v1.1,a25afae9fdaefead65fc62f716176047,96,6561,81x81,985.74,25.4,2.335297169272129e-06,3.5724199278774904e-06,1.53,0.376,1.4709009379148483,0.0038269401993602514,57,Bay of Bengal (NI),IMD,Extremely Severe Cyclonic Storm,115,944
nargis,TRACEBIND-P5-INT-v1.0,TRACEBIND-P5A-v1.1,125f68474a5bf45ca6c889f8ab397128,48,5913,73x81,987.97,6.92,2.205455319407671e-06,2.6225684450764675e-06,1.189,0.126,0.6259611444547772,0.0034557650797069073,35,Bay of Bengal (NI),IMD,Very Severe Cyclonic Storm,90,962
gulab,TRACEBIND-P5-INT-v1.0,TRACEBIND-P5A-v1.1,c4e5f2e80982f849f9c14b8577c1c8af,96,1681,41x41,991.37,15.78,1.3596984202261335e-06,2.4778025817795424e-06,1.822,0.407,0.21942269190913066,0.00374621176160872,43,Bay of Bengal (NI),IMD,Cyclonic Storm,45,992
