storm_id,cohort_type,min_pressure_hpa,max_wind_kt,mean_dx_meters,dy_meters,GE,LE,C_orient,A_radial,S_orient
amphan,Core,,,26471.49581935849,27798.731661139685,0.9336221547687137,0.0031747776083648205,2.8965981613282565e-08,0.23536165850244484,1.6313951015472412
bulbul,Core,,,26249.202146834956,27798.731661139685,0.9320580262439835,0.0016146651469171047,1.7613883684930443e-08,0.08116008310880572,1.513007640838623
fani,Core,,,26711.998712530825,27798.731661139685,0.9380893445328427,0.0018366007134318352,2.1134447081294638e-08,0.005326048181771533,1.2812480926513672
gulab,Core,,,26686.257915875216,27798.731661139685,0.9547416372259256,0.000978479627519846,1.0801248784275685e-08,0.17427764906724766,1.1389186382293701
haiyan,Core,,,27251.638451220904,27798.731661139685,0.9517119817319158,0.0024577262811362743,2.6721576062982422e-08,0.7290048488848735,1.6305546760559082
hudhud,Core,,,26548.644840046996,27798.731661139685,0.936408038355315,0.0035159157123416662,2.4367391660007343e-08,0.6512562194953108,1.5366662740707397
ida,Core,,,24280.92909730051,27798.731661139685,0.9182022475131827,0.0035157441161572933,1.995513443375785e-08,0.5132342362233567,1.1880810260772705
kyarr,Core,,,26548.644840046996,27798.731661139685,0.9174111905792591,0.0034734660293906927,1.5170121159258088e-08,0.2815826103494025,2.121492862701416
mekunu,Core,,,26815.742099026673,27798.731661139685,0.943461243670644,0.002452634507790208,2.2719158110362514e-08,0.35069124638789884,1.3327994346618652
mocha,Core,,,26711.998712530825,27798.731661139685,0.9295729366941823,0.0027511336375027895,2.2280243427985624e-08,0.20953159116466258,1.5210001468658447
nargis,Core,,,26859.131812358686,27798.731661139685,0.9536836355788935,0.0010114721953868866,1.6115491163759543e-08,0.059428009036927715,1.449521780014038
sidr,Core,,,26711.998712530825,27798.731661139685,0.9377339645835561,0.0014587420737370849,1.5109234752230805e-08,0.258662800251843,1.7956911325454712
yaas,Core,,,26711.998712530825,27798.731661139685,0.9543989150054356,0.0016589869046583772,2.0811770085060743e-08,0.055203594427781034,1.4570577144622803
fay_2020,Expanded,,,24357.972392156127,27798.731661139685,0.9751340379126704,0.000453636166639626,7.564297632711714e-09,0.08691831857829978,1.2897814512252808
goni_2020,Expanded,,,26939.362558646764,27798.731661139685,0.9764028296656606,0.00024624299840070307,3.2328586474505983e-09,0.17278498584567634,1.9644320011138916
ian_2022,Expanded,,,25812.751243808718,27798.731661139685,0.9579871457066117,0.0008529550395905972,1.3052843250704882e-08,0.026335395316417237,1.4208287000656128
maria_2017,Expanded,,,27022.526535329027,27798.731661139685,0.9699730373686583,0.00048127383342944086,4.84268225520168e-09,0.4802711012869065,1.2513493299484253
sam_2021,Expanded,,,27160.34833373466,27798.731661139685,0.9682356735484644,0.0003065873752348125,3.0588438448830857e-09,0.2841234081314144,1.162554144859314
low_2021_01,NegativeControl,,,23505.15461724327,27798.731661139685,0.9833430317460843,0.00033720265491865575,5.015466708613303e-09,0.2056403215484245,1.4703222513198853
low_2022_02,NegativeControl,,,27198.54645108678,27798.731661139685,0.9626694982499331,0.0006786924786865711,9.831968128537483e-09,0.04605792362508348,1.7756845951080322
