metric,cohort,sample_size_N,mean,std_dev,median,iqr,min,max,skewness,kurtosis,shapiro_stat,shapiro_p_value
circulation_250km_mean,TC,48,10088176.735886695,12353744.993439687,12965784.400846228,11083411.332765948,-20026182.314724077,27133762.062906,-1.1411403972709377,0.5286802845991825,0.8645498580749897,5.418176864328789e-05
circulation_250km_mean,Control,19,8840111.055121798,5941736.735803887,10115254.04728009,6701032.200450202,-2871768.964775643,19910176.564579736,-0.44783734202528463,-0.38107479442521663,0.951271334132715,0.41525689607065286
circulation_250km_mean,Combined,67,9734247.662236948,10891743.358094066,11774744.917547666,9206531.541347396,-20026182.314724077,27133762.062906,-1.1319359921886545,1.055572932271902,0.895183137187394,3.63714431181866e-05
compactness_ratio_mean,TC,48,0.4626122994037966,0.19764354387198005,0.4547329246997833,0.2505478709936142,0.10610994696617126,0.9877183437347412,0.3690716874183696,-0.12488086688800104,0.9821719993711656,0.6711684638387879
compactness_ratio_mean,Control,19,0.5100130609383708,0.3631414829727395,0.44735753536224365,0.614107146859169,0.04312834516167641,1.1408185958862305,0.34129969583851144,-1.150250625412025,0.9259917541117673,0.14606141013805063
compactness_ratio_mean,Combined,67,0.47605430640613855,0.25346790532288077,0.44735753536224365,0.3243289887905121,0.04312834516167641,1.1408185958862305,0.5505542955072837,-0.016406754626864473,0.967938566108625,0.08111793713359533
asymmetry_index_mean,TC,48,388.6481998761495,453.1734163947809,295.3590087890625,281.1494331359863,64.21031951904297,2604.486328125,3.552777582170978,13.47901466270066,0.5706263607458487,1.2612655314439787e-10
asymmetry_index_mean,Control,19,566.5312774055883,1079.4496781380299,302.0166015625,259.9730529785156,18.25086784362793,4930.42431640625,3.7394994180164187,12.678225006111484,0.420127290946818,1.0596895142372929e-07
asymmetry_index_mean,Combined,67,439.09265469793064,685.9712433389844,300.72039794921875,280.88189697265625,18.25086784362793,4930.42431640625,4.936212770994823,27.291919985420243,0.4436412436593222,1.6251007558343795e-14
filamentation_fraction_mean,TC,48,0.030768367310881162,0.023099638635497407,0.023324909500717163,0.03000271426701273,0.0036882726589713816,0.08633290075814494,0.7642672672268229,-0.5429501566341908,0.9012634460768302,0.0006908290226998512
filamentation_fraction_mean,Control,19,0.0380797975404326,0.028013983437005608,0.03394576873164401,0.030223345399904372,0.0032101632402158323,0.12683559866129362,1.7060691856837369,3.3246665004534917,0.845153785977166,0.0056003389406336325
filamentation_fraction_mean,Combined,67,0.032841757972992776,0.02459756018306205,0.025749607267263164,0.02878901714363773,0.0032101632402158323,0.12683559866129362,1.193505363895017,1.6949943251048767,0.8996937794359822,5.40360787085689e-05
coherence_index_mean,TC,48,0.41655669381065974,0.06232929820337126,0.4069469366829018,0.07604278563319578,0.31277533039647576,0.5777777777777777,0.727598393030223,-0.06748807703116544,0.9498592649269448,0.03947418551303768
coherence_index_mean,Control,19,0.38937559238347874,0.08026250762147094,0.3737864077669903,0.07757019983646984,0.2619047619047619,0.5644481887110362,0.7258481767801197,-0.2036836013835872,0.9365751292835014,0.22858945306977035
coherence_index_mean,Combined,67,0.40884862027160845,0.0683801957632931,0.39805825242718446,0.08495906396902797,0.2619047619047619,0.5777777777777777,0.5776773469436629,-0.12402305712515727,0.9629462847791826,0.043493937037449484
boundary_entropy_bits_mean,TC,48,14.370808644218052,0.3370778517598381,14.413873147829715,0.30941916088401555,12.898833706112288,14.776991833964987,-1.9962032523013704,5.950758154855615,0.8324946956976397,7.697385189286235e-06
boundary_entropy_bits_mean,Control,19,14.19315514113579,0.7025798333120217,14.4432822658359,0.4456472469192754,11.934065230930129,14.794885176855377,-2.0439603747291013,3.839249543790401,0.7474953225093213,0.0002169152505358998
boundary_entropy_bits_mean,Combined,67,14.320429292597709,0.4712160983772725,14.425777354125668,0.3188890688240775,11.934065230930129,14.794885176855377,-2.712795746737319,9.5694982620682,0.7354464836581494,1.1474033136027176e-09
boundary_sharpness_mean,TC,48,2.2131792055309536e-05,9.131967807557866e-06,1.988788881135406e-05,1.1375291251169983e-05,9.130697435466573e-06,4.71508210466709e-05,0.9621018671886312,0.4632302984313461,0.9181307957315632,0.002555863318976887
boundary_sharpness_mean,Control,19,2.03514525645388e-05,8.912098769130584e-06,2.1929308786639012e-05,8.119513950077817e-06,1.7235697669093497e-06,3.074128835578449e-05,-1.0971852209549031,0.08330847828940335,0.8466039070987645,0.0059099620839583745
boundary_sharpness_mean,Combined,67,2.1626919662404403e-05,9.038861300885674e-06,2.0713523554150015e-05,1.0991891940648202e-05,1.7235697669093497e-06,4.71508210466709e-05,0.43207304482208464,0.6829393874411993,0.973964275727897,0.17207443719072651
