system_id,cohort_id,cohort_name,system_class,feature_sha256,wind_speed_min,wind_speed_p05,wind_speed_p25,wind_speed_median,wind_speed_mean,wind_speed_p75,wind_speed_p95,wind_speed_max,wind_speed_std,vorticity_min,vorticity_p05,vorticity_p25,vorticity_median,vorticity_mean,vorticity_p75,vorticity_p95,vorticity_max,vorticity_std,divergence_min,divergence_p05,divergence_p25,divergence_median,divergence_mean,divergence_p75,divergence_p95,divergence_max,divergence_std,strain_normal_min,strain_normal_p05,strain_normal_p25,strain_normal_median,strain_normal_mean,strain_normal_p75,strain_normal_p95,strain_normal_max,strain_normal_std,strain_shear_min,strain_shear_p05,strain_shear_p25,strain_shear_median,strain_shear_mean,strain_shear_p75,strain_shear_p95,strain_shear_max,strain_shear_std,okubo_weiss_min,okubo_weiss_p05,okubo_weiss_p25,okubo_weiss_median,okubo_weiss_mean,okubo_weiss_p75,okubo_weiss_p95,okubo_weiss_max,okubo_weiss_std
CTRL_2023_ATL_01,G,Quiescent Background Controls,RANDOM,745b27488e0f38cdceaec6e5ff436bdff91e6ec454db606c9cd546f720555372,0.12765388190746307,2.186272382736206,4.288614273071289,6.180475234985352,6.143113613128662,7.755915641784668,10.300358772277832,16.567127227783203,2.558021068572998,-5.9558358771028e-05,-2.3250171580002643e-05,-1.0145394298888277e-05,-3.1141967156145256e-06,6.17303214767162e-07,7.273737082869047e-06,2.8867183573311195e-05,0.0002724316727835685,2.2346735931932926e-05,-9.519196464680135e-05,-1.901752875710372e-05,-6.114742973295506e-06,7.586785386592965e-07,1.907687590119167e-07,7.450982593582012e-06,1.812402842915617e-05,6.763235433027148e-05,1.2288845937291626e-05,-8.706245716894045e-05,-2.7877842512680218e-05,-1.0652338460204192e-05,-3.804241544003162e-07,-7.719246042370287e-08,9.68883978202939e-06,3.0507701012538746e-05,0.00010672945063561201,1.895007699204143e-05,-0.00010980600927723572,-2.915169534389861e-05,-1.1055002687498927e-05,-1.6778344615886454e-06,-1.8724293795457925e-06,6.851072612334974e-06,2.5635161364334635e-05,9.800624684430659e-05,1.7800679415813647e-05,-7.400363699616719e-08,-3.1163893687846667e-10,4.33207332853347e-12,1.3493925421492747e-10,1.7972394406040593e-10,4.4943904153882386e-10,2.017416012023432e-09,1.6156297633074246e-08,2.949533062235332e-09
CTRL_2023_IND_01,G,Quiescent Background Controls,RANDOM,21766c81ec615ae92eb67960fef4d661aae9f0b8189eef812f0238a307942f8f,0.04934319853782654,2.673381805419922,6.276777267456055,8.098495483398438,7.592123508453369,9.3352632522583,10.770718574523926,13.316534996032715,2.402946949005127,-0.00011484201968414709,-2.4641545678605326e-05,-3.3092446756199934e-06,3.840242243313696e-06,2.748866336332867e-06,1.2152185263403226e-05,2.4934339307947084e-05,4.957166311214678e-05,1.6295785826514475e-05,-7.375724817393348e-05,-2.1418945834739134e-05,-6.181384833325865e-06,1.7001895002977108e-06,4.6742178483327734e-07,7.939238457765896e-06,1.8805158106260933e-05,5.7461813412373886e-05,1.2388321010803338e-05,-4.392183473100886e-05,-1.782443177944515e-05,-7.1438080340158194e-06,-1.1739698493329342e-06,9.990876606025267e-07,6.998732715146616e-06,2.45348819589708e-05,0.0001225197484018281,1.4648503565695137e-05,-9.391737694386393e-05,-3.000471588165965e-05,-1.5288687791326083e-05,-3.8207790566957556e-06,-5.043421879236121e-06,4.513233761826996e-06,1.9537705156835727e-05,6.254979962250218e-05,1.5520525266765617e-05,-7.031324411599371e-09,-3.4606620347155115e-10,-1.2981030313163888e-11,9.453119537150556e-11,2.0879074857926838e-10,3.404718174060406e-10,1.25044041787703e-09,5.172034800438041e-09,6.151119058550591e-10
CTRL_2023_PAC_01,G,Quiescent Background Controls,RANDOM,30f99dda5dac182bc458142de61351b3760fd58239c9d8d72329bc218dd7acad,0.12844252586364746,3.4922025203704834,5.219466209411621,5.952190399169922,6.1002373695373535,6.673404216766357,8.861245155334473,22.281375885009766,1.919174313545227,-0.00019423039339017123,-1.5990613974281587e-05,-7.912722139735706e-06,-2.847144514817046e-06,-2.3787686487253268e-08,3.530858748490573e-06,2.0582017896231264e-05,0.0008307627867907286,2.482356285327114e-05,-0.00029821187490597367,-2.2018786694388837e-05,-6.47874730930198e-06,1.106362788050319e-06,-1.822630935066627e-07,7.974044820002746e-06,1.874771260190755e-05,0.00010503891098778695,1.577815601194743e-05,-0.0002593573881313205,-2.0095478248549625e-05,-6.71854468237143e-06,1.2424753776940634e-06,1.8606009462018847e-06,9.449760000279639e-06,2.9071923563606106e-05,0.00025628000730648637,2.1720270524383523e-05,-0.0002487901074346155,-2.047749876510352e-05,-5.845290615980048e-06,1.4995219999036635e-06,1.4529575764754554e-06,9.121030416281428e-06,2.2998823624220677e-05,0.00026112244813703,1.96873297682032e-05,-6.592367753910366e-07,-1.6722807860691802e-10,1.0342989485712106e-11,1.0757281870832358e-10,2.4872418014076914e-10,3.0977848064495106e-10,1.8500102560992104e-09,6.567968569015648e-08,1.2730269283167672e-08
TC_2023_2023036S12117,A,Strong Tropical Cyclones,TC,aff83400fdbfe388428750e40a25080e50e3f8d9ac6e70f408fc1140415c4f68,0.025611890479922295,1.8172950744628906,3.7846100330352783,5.8642354011535645,6.053713798522949,7.961312770843506,10.902290344238281,26.46758460998535,3.029531240463257,-0.0011234850389882922,-2.567056435509585e-05,-6.2051130953477696e-06,5.473579676618101e-06,2.3893458092061337e-06,1.370111476717284e-05,2.664346175151877e-05,0.00020041958487126976,3.098597517237067e-05,-0.0004000247281510383,-2.596697595436126e-05,-9.64898026722949e-06,-3.674160211630806e-07,-1.4742498706254992e-06,8.375247489311732e-06,2.2619789888267405e-05,8.106454333756119e-05,1.9165330741088837e-05,-0.0003687182907015085,-2.8307895263424143e-05,-1.0361803106206935e-05,-2.774048653009231e-07,-1.240710503225273e-07,1.0387078873463906e-05,2.905857218138408e-05,0.00036850341712124646,2.6236790290568024e-05,-0.00034566308022476733,-2.755265995801892e-05,-1.136838000093121e-05,-4.464873484266718e-07,7.004906024121738e-07,1.202891598950373e-05,3.2779302273411304e-05,0.0003750851610675454,2.521713395253755e-05,-1.2587150877152453e-06,-4.918675466925038e-10,-2.2216522024831598e-11,1.8072562890658617e-10,3.589393782199579e-10,5.531910485245817e-10,2.5299855543892136e-09,1.3022723521771695e-07,2.0669835620878985e-08
TC_2023_2023096S07135,A,Strong Tropical Cyclones,TC,e204543fbc820c3ee726083805e5995c6dd449b00835020cf0173cb35f89e1a8,0.09883680939674377,1.5609365701675415,3.424797773361206,5.622892379760742,6.499209403991699,9.196818351745605,14.51982307434082,24.16129493713379,3.9768450260162354,-0.0009296871139667928,-3.88336629839614e-05,-1.0705643944675103e-05,5.582587618846446e-07,-2.5712161004776135e-06,9.899221367959399e-06,2.6542358682490885e-05,0.000118060881504789,3.1785260944161564e-05,-0.00021597067825496197,-4.5876295189373195e-05,-1.1379349416529294e-05,5.465523145176121e-07,-1.5119851468625711e-06,1.2086124115739949e-05,3.389971607248299e-05,0.00017383703379891813,2.5891260520438664e-05,-0.0002947920293081552,-4.214345244690776e-05,-1.3717051842832007e-05,7.227823175526282e-07,-7.188316430983832e-07,1.3452864550345112e-05,3.593722794903442e-05,0.00027171766851097345,2.828616925398819e-05,-0.000338015059242025,-4.486198668018915e-05,-1.7997470422415063e-05,-4.025121597805992e-06,-3.6487524539552396e-06,9.727706128614955e-06,4.0877181163523346e-05,0.00019884746870957315,3.070195816690102e-05,-8.508762334713538e-07,-4.911628881387742e-10,6.480832537292258e-11,3.63885421794663e-10,7.396337986520507e-10,1.0655287763228216e-09,4.332660896722018e-09,1.2891355538613425e-07,1.4740925813327976e-08
TC_2023_2023129N08091,A,Strong Tropical Cyclones,TC,a49375676a6c8a39a5141390b5de0e784927036c53b6c7e9d7f6b11f19b726dd,0.027328111231327057,0.6076431274414062,1.33696448802948,2.4401934146881104,4.610779285430908,7.71223258972168,12.703420639038086,33.056785583496094,4.588585376739502,-0.00022015230206307024,-3.364540680195205e-05,-9.948360457201488e-06,-1.1640759112196974e-06,1.1779513897636207e-06,8.298168722831178e-06,3.9219012251123786e-05,0.0012341287219896913,3.93411100958474e-05,-0.000492108054459095,-4.7408662794623524e-05,-1.4270105566538405e-05,-1.57590605454061e-07,-1.5841311551412218e-06,1.3011300325160846e-05,4.4639153202297166e-05,0.00020144795416854322,3.257527350797318e-05,-0.00037417368730530143,-4.6049794036662206e-05,-1.6055988453445025e-05,-2.278449301229557e-06,-8.055853299993032e-07,1.2674674508161843e-05,4.662350329454057e-05,0.00048662599874660373,3.5528504668036476e-05,-0.0003542167250998318,-5.146931289345957e-05,-1.4010263839736581e-05,-3.079993007304438e-07,-8.439803877990926e-07,1.378867182211252e-05,4.5129858335712925e-05,0.000404598715249449,3.649781865533441e-05,-1.511004256826709e-06,-4.806819386971029e-10,7.440806304437331e-11,3.788647451319349e-10,1.0466160160760296e-09,1.255775039510354e-09,5.782555323463612e-09,2.237758423007108e-07,2.69095341565162e-08
TC_2023_2023138N05151,A,Strong Tropical Cyclones,TC,0801087f0c43d163bebde878f963c99efa500b3ffc73059f9bc2d732d1ded169,0.07233192026615143,2.064394950866699,6.246444225311279,8.16153335571289,8.045248031616211,9.908342361450195,12.511326789855957,32.47658920288086,3.39847731590271,-0.00012878567213192582,-2.296181264682673e-05,-8.18195712781744e-06,-2.3494096978993184e-07,2.073231144095189e-06,8.645885827718303e-06,2.9710450689890422e-05,0.0012282665120437741,3.373245635884814e-05,-0.00046894734259694815,-2.614135155454278e-05,-1.011248241411522e-05,-8.174893650902959e-07,-1.4145039131108206e-06,8.53360597830033e-06,2.3590668206452392e-05,0.0001102275782614015,2.1016629034420475e-05,-0.0004706874897237867,-3.07452428387478e-05,-1.458014412492048e-05,-2.4734067665121984e-06,-1.5009427443146706e-06,9.987125849875156e-06,3.4450655221007764e-05,0.0004140618839301169,2.8565787943080068e-05,-0.00042191980173811316,-3.367353565408848e-05,-1.3929432498116512e-05,-3.904018740286119e-06,-2.874703341149143e-06,7.496516900573624e-06,3.111103069386445e-05,0.00039495789678767323,2.769058664853219e-05,-1.5068308130139485e-06,-3.0305091769378123e-10,5.548076581485262e-11,2.750396022044299e-10,4.511127582595975e-10,6.893960957654599e-10,3.0020754770987423e-09,1.9180383503680787e-07,2.6143364806330283e-08
TC_2023_2023156N10067,D,Monsoon Low Pressure Systems,MONSOON,6181a468ac160dce0be1582b56588ac22734bd1591ab2789c36277aa43493d12,0.04382741078734398,1.7242251634597778,3.94514799118042,6.254629135131836,7.192736625671387,10.102072715759277,14.456567764282227,25.736318588256836,4.188806533813477,-0.00016203412087634206,-3.3718803024385124e-05,-1.3052184840489645e-05,-5.47605168321752e-06,-2.425787215543096e-07,6.158374162623659e-06,4.818779052584432e-05,0.000920277729164809,3.6429079045774415e-05,-0.0003407592885196209,-5.667605364578776e-05,-1.0531616680964362e-05,1.0017107570092776e-06,-1.3432393188850256e-06,1.2111871001252439e-05,4.193237327854149e-05,0.0001981500390684232,3.0656934541184455e-05,-0.0002893499913625419,-4.833930142922327e-05,-1.1320588782837149e-05,6.305181159405038e-07,1.5664066950193956e-06,1.3550496987591032e-05,5.5630684073548764e-05,0.0002710601838771254,3.389099583728239e-05,-0.00029821708449162543,-5.685230644303374e-05,-1.489893656980712e-05,8.617616913397796e-07,-1.0244527857139474e-06,1.3071018656773958e-05,5.052975029684603e-05,0.0002934518561232835,3.4182437957497314e-05,-8.4556677393266e-07,-7.372608079592169e-10,-1.015170759954831e-11,2.8448007838299816e-10,9.934050249071902e-10,1.4977511453295733e-09,7.636455912063411e-09,6.77348239719322e-08,1.5396244279486382e-08
TC_2023_2023160N20092,D,Monsoon Low Pressure Systems,MONSOON,842a1f9c1977a95782fd3b480458e06750ce4103cceab9f6b845e403c9b2cf11,0.011827776208519936,0.6071051955223083,1.5289313793182373,3.0694212913513184,4.151919841766357,6.603684425354004,10.309920310974121,13.142961502075195,3.2137844562530518,-0.00020429870346561074,-2.845343988155946e-05,-8.10313031252008e-06,4.118350886983535e-07,2.2218425783648854e-06,1.026694371830672e-05,3.879828000208363e-05,0.00024772321921773255,2.3712642359896563e-05,-0.00020640406000893563,-5.324629455571994e-05,-1.625755976419896e-05,-7.131277470762143e-07,-2.5690646907605696e-06,1.3400398529483937e-05,4.013569196104072e-05,0.00014896194625180215,2.9234608518891037e-05,-0.0002066140586975962,-3.982156340498477e-05,-1.2131894436606672e-05,7.331277629418764e-07,1.035440845953417e-06,1.4638788343290798e-05,4.1514340409776196e-05,0.00017261416360270232,2.6067904400406405e-05,-0.0002376871561864391,-4.516890112427063e-05,-1.4112089047557674e-05,-7.42801262276771e-07,-1.321331524195557e-06,1.2350235920166597e-05,3.903815377270803e-05,0.00014962995192036033,2.688544373086188e-05,-5.737202357636306e-08,-6.422032905462061e-10,4.224461058743856e-11,3.328428088700264e-10,8.379548721570984e-10,1.0571338249221185e-09,4.330530600782367e-09,6.366601468243971e-08,2.840971236039991e-09
TC_2023_2023212N19090,D,Monsoon Low Pressure Systems,MONSOON,bd6df7f9757ff2ff5e185b0c5c329d544d5167685e153ee076d533989964cd30,0.009583297185599804,0.4767637550830841,1.1532597541809082,2.7573626041412354,4.44948673248291,7.901504993438721,11.805861473083496,15.385493278503418,4.007688045501709,-0.00019322200387250632,-2.579639658506494e-05,-7.275489224412013e-06,7.142536446735903e-07,2.4157677671610145e-06,9.451803634874523e-06,3.671141166705638e-05,0.00030392786720767617,2.4476323233102448e-05,-0.0002632476098369807,-4.0046972571872175e-05,-1.3750051948591135e-05,-1.0443936844239943e-06,-1.708989998405741e-06,1.1340099263179582e-05,3.576627204893157e-05,0.00013847420632373542,2.4797043806756847e-05,-0.0002742442302405834,-3.361035487614572e-05,-1.1167801858391613e-05,1.9187764621619863e-07,5.781773211310792e-07,1.1855503544211388e-05,3.669132274808362e-05,0.00015162580530159175,2.4019067495828494e-05,-0.00019180038361810148,-3.92448746424634e-05,-1.2452592272893526e-05,-6.350857120196451e-07,-1.3201364481574274e-06,1.1212173376407009e-05,3.604973608162254e-05,0.00014969464973546565,2.5040511900442652e-05,-8.512861882081779e-08,-4.846633094857111e-10,3.544228799334803e-11,2.4247232000007557e-10,6.010935638123271e-10,7.635479470913253e-10,3.1603737404850563e-09,7.594199047389338e-08,3.316173113887544e-09
