d_star,shear_ratio,snr_db,c_phi
1.5,0.00,-10.0,0.657990
1.5,0.00,0.0,0.770929
1.5,0.00,10.0,0.954506
1.5,0.00,20.0,0.993941
1.5,0.00,30.0,0.997601
1.5,0.20,-10.0,0.645213
1.5,0.20,0.0,0.676302
1.5,0.20,10.0,0.694566
1.5,0.20,20.0,0.696606
1.5,0.20,30.0,0.697195
1.5,0.50,-10.0,0.641186
1.5,0.50,0.0,0.654292
1.5,0.50,10.0,0.663140
1.5,0.50,20.0,0.669696
1.5,0.50,30.0,0.670824
1.5,0.80,-10.0,0.641915
1.5,0.80,0.0,0.658590
1.5,0.80,10.0,0.658091
1.5,0.80,20.0,0.658377
1.5,0.80,30.0,0.660729
1.5,1.00,-10.0,0.642337
1.5,1.00,0.0,0.661700
1.5,1.00,10.0,0.661154
1.5,1.00,20.0,0.653025
1.5,1.00,30.0,0.655331
2.5,0.00,-10.0,0.656577
2.5,0.00,0.0,0.767370
2.5,0.00,10.0,0.943924
2.5,0.00,20.0,0.977161
2.5,0.00,30.0,0.980205
2.5,0.20,-10.0,0.643508
2.5,0.20,0.0,0.672730
2.5,0.20,10.0,0.696759
2.5,0.20,20.0,0.701171
2.5,0.20,30.0,0.702056
2.5,0.50,-10.0,0.641601
2.5,0.50,0.0,0.655375
2.5,0.50,10.0,0.665575
2.5,0.50,20.0,0.676753
2.5,0.50,30.0,0.679532
2.5,0.80,-10.0,0.642288
2.5,0.80,0.0,0.660958
2.5,0.80,10.0,0.664267
2.5,0.80,20.0,0.664851
2.5,0.80,30.0,0.668039
2.5,1.00,-10.0,0.642554
2.5,1.00,0.0,0.663805
2.5,1.00,10.0,0.667309
2.5,1.00,20.0,0.662002
2.5,1.00,30.0,0.665034
3.5,0.00,-10.0,0.654566
3.5,0.00,0.0,0.754312
3.5,0.00,10.0,0.915879
3.5,0.00,20.0,0.944821
3.5,0.00,30.0,0.947593
3.5,0.20,-10.0,0.643128
3.5,0.20,0.0,0.665557
3.5,0.20,10.0,0.688005
3.5,0.20,20.0,0.696177
3.5,0.20,30.0,0.697777
3.5,0.50,-10.0,0.642137
3.5,0.50,0.0,0.659660
3.5,0.50,10.0,0.673616
3.5,0.50,20.0,0.679592
3.5,0.50,30.0,0.677850
3.5,0.80,-10.0,0.642738
3.5,0.80,0.0,0.664741
3.5,0.80,10.0,0.675459
3.5,0.80,20.0,0.683975
3.5,0.80,30.0,0.694798
3.5,1.00,-10.0,0.643029
3.5,1.00,0.0,0.667095
3.5,1.00,10.0,0.677956
3.5,1.00,20.0,0.680487
3.5,1.00,30.0,0.690453
5.0,0.00,-10.0,0.649526
5.0,0.00,0.0,0.725347
5.0,0.00,10.0,0.860051
5.0,0.00,20.0,0.885060
5.0,0.00,30.0,0.887485
5.0,0.20,-10.0,0.643544
5.0,0.20,0.0,0.664873
5.0,0.20,10.0,0.675037
5.0,0.20,20.0,0.677886
5.0,0.20,30.0,0.680745
5.0,0.50,-10.0,0.643128
5.0,0.50,0.0,0.668589
5.0,0.50,10.0,0.701568
5.0,0.50,20.0,0.727961
5.0,0.50,30.0,0.736058
5.0,0.80,-10.0,0.643647
5.0,0.80,0.0,0.671557
5.0,0.80,10.0,0.697707
5.0,0.80,20.0,0.718805
5.0,0.80,30.0,0.731839
5.0,1.00,-10.0,0.643665
5.0,1.00,0.0,0.673017
5.0,1.00,10.0,0.696818
5.0,1.00,20.0,0.709094
5.0,1.00,30.0,0.720845
