blinded_id,center_lat,center_lon,c_phi,mean_velocity_m_s,u_var_used,v_var_used
c2_uuid_a8aaadc4,18.5,91.25,0.8179255404577616,5.622941108153328,u10,v10
c2_uuid_fa40c633,19.8,87.7,0.6842867981592232,5.2270278505569525,u10,v10
c2_uuid_aebda966,18.1,85.5,0.7010918691520522,5.547430337104312,u10,v10
c2_uuid_d60e0f4a,15.8,94.2,0.904240777221076,5.372405488928197,u10,v10
c2_uuid_4c0d80da,19.1,71.2,0.9404510607323074,5.348501032932718,u10,v10
c2_uuid_495c8cf2,20.8,87.3,0.5968568748425855,4.699869105587715,u10,v10
c2_uuid_f544906f,17.5,66.2,0.924590007415065,5.430302258381997,u10,v10
c2_uuid_aa20f8c4,17.7,83.3,0.6391496351469299,4.934465807702522,u10,v10
c2_uuid_49511e7b,18.7,85.0,0.6481222793859295,5.17763148682412,u10,v10
c2_uuid_80ab3494,21.1,88.1,0.6077949151974298,4.60178827538854,u10,v10
c2_uuid_ec81d97e,-5.25,77.5,0.1369413199624094,8.039863941618274,u10,v10
c2_uuid_fbf4a196,17.0,89.0,0.9079640883107798,6.593579223316369,u10,v10
c2_uuid_c6fae318,22.5,82.1,0.7230558334779495,3.4153003185987574,u10,v10
c2_uuid_4b4eea26,21.0,89.5,0.6556831812879418,4.576164156812702,u10,v10
c2_uuid_735327ae,14.2,72.8,0.937204280786385,3.992326788789088,u10,v10
c2_uuid_ff53a69a,13.5,84.1,0.8534607049999247,6.038604333618816,u10,v10
c2_uuid_eb59c68d,10.5,78.0,0.6991280506498946,5.063099446797303,u10,v10
c2_uuid_4df18da4,12.0,68.5,0.9113555427732886,3.8787631577999973,u10,v10
c2_uuid_fca79975,16.5,85.2,0.8009940860117223,6.006780241824582,u10,v10
c2_uuid_dc364aad,23.1,80.4,0.8460462506517306,3.4737864152865336,u10,v10
